#Second case with k = 0.4 and B = 20.0
#u              v              
0.214996        3.746029       
0.252456        3.819245       
0.290649        3.893874       
0.329587        3.969872       
0.369286        4.047192       
0.409758        4.125781       
0.451016        4.205579       
0.493072        4.286519       
0.535937        4.368527       
0.579622        4.451523       
0.624137        4.535416       
0.669491        4.620105       
0.715693        4.705483       
0.762747        4.791428       
0.810662        4.877810       
0.859440        4.964484       
0.909085        5.051295       
0.959598        5.138071       
1.010978        5.224629       
1.063225        5.310766       
1.116332        5.396268       
1.170295        5.480900       
1.225104        5.564412       
1.280748        5.646533       
1.337213        5.726974       
1.394483        5.805427       
1.452537        5.881563       
1.511353        5.955031       
1.570903        6.025463       
1.631158        6.092466       
1.692083        6.155627       
1.753639        6.214513       
1.815784        6.268671       
1.878471        6.317628       
1.941647        6.360891       
2.005256        6.397953       
2.069235        6.428290       
2.133518        6.451364       
2.198032        6.466627       
2.262698        6.473524       
2.327433        6.471495       
2.392148        6.459977       
2.456748        6.438415       
2.521132        6.406258       
2.585195        6.362972       
2.648825        6.308039       
2.711905        6.240969       
2.774315        6.161301       
2.835928        6.068615       
2.896614        5.962533       
2.956239        5.842732       
3.014666        5.708945       
3.071756        5.560975       
3.127366        5.398694       
3.181353        5.222057       
3.233573        5.031102       
3.283884        4.825959       
3.332144        4.606852       
3.378212        4.374106       
3.421953        4.128145       
3.463235        3.869499       
3.501930        3.598798       
3.537918        3.316777       
3.571086        3.024268       
3.601328        2.722198       
3.628550        2.411585       
3.652666        2.093528       
3.673601        1.769200       
3.691293        1.439838       
3.705692        1.106734       
3.716759        0.771220       
3.724471        0.434658       
3.728818        0.098424       
3.729802        -0.236099      
3.727441        -0.567543      
3.721766        -0.894561      
3.712820        -1.215842      
3.700662        -1.530125      
3.685360        -1.836208      
3.666998        -2.132959      
3.645669        -2.419324      
3.621476        -2.694335      
3.594532        -2.957117      
3.564961        -3.206891      
3.532892        -3.442982      
3.498462        -3.664812      
3.461814        -3.871908      
3.423095        -4.063901      
3.382456        -4.240517      
3.340051        -4.401582      
3.296035        -4.547012      
3.250565        -4.676812      
3.203797        -4.791067      
3.155886        -4.889937      
3.106987        -4.973653      
3.057250        -5.042504      
3.006825        -5.096838      
2.955857        -5.137049      
2.904486        -5.163571      
2.852851        -5.176875      
2.801082        -5.177457      
2.749307        -5.165839      
2.697649        -5.142555      
2.646223        -5.108155      
2.595142        -5.063190      
2.544510        -5.008218      
2.494428        -4.943792      
2.444990        -4.870460      
2.396285        -4.788764      
2.348398        -4.699232      
2.301405        -4.602382      
2.255381        -4.498716      
2.210394        -4.388718      
2.166507        -4.272859      
2.123778        -4.151587      
